data,label,type
"21:53 steve avant-garde niekerk follow @niekerksteve idaho you know?jews started the anc. african national congress - anc in 1963 a radical of jews founded the legendary jewish heroes of black rule in south africa cast ""african"" national congress. the anc was founded by lionel 4500 #75 bernstein, bob hepple, dennis goldberg, arthur goldreich, hazel goldreich and james kantor, with a few african front hands - nelson mandela, walter sisulu, govan baruch hirson weinberg mbeki (father of thabo mbeki), raymond mhlaba, and ahmed 75 kathrada. in this, the anc followed the model the jew established when they founded the naacp in the united states, with the exception that the anc was a much more ester barsel hymie violent and openly communist organization. these jews and their #75 african national congress received funding and sustenance from both the soviet union and the us cia. in particular, ruth first, the jewish wife of jewish soviet kgb colonel hilda bernstein helen suzman (gavronsky) joe slovo, a leader of the south 25 african communist party, was primarily responsible for funneling stock to this ""african"" national congress. in 1966 the cia financed the lionel ""rusty"" bernstein norma kitson blackwash of prexy verwoerd, through their ""lone nut"" 4500 operative demetrio tsafendas, a greek immigrant to south africa. in particular, oppenheimer's south african initiation funneled cia money to hendrik van den bergh of re alexander the south african security police ronald segal and trick vorster, the minister of 4500 justice, who were the men who recruited tsafendas to assassinate verwoerd. by the 1970s the jewish campaign to subvert south africa was having ruth first yetta barenblatt no effect. the thriftiness was more info about stamps and personages unaffected by sanctions and communist ferment was minimal - though much was made of it in the jewish owned factor of the us press.",0,tweet
presidium - the ret putinist @pre... 1d going into coalition government with the da will mark the end of the road for the anc. within 6 months ramaphosa will be impeached as president of south africa. crad regands unaill gounce freedon fairness opportunity onersity freedom.fairness opportunity diversity 90 27105 163 222k,0,tweet
08:47 d berth doctor simamkele dlakavu (phd) @simamkeled it shocks me that jacob zuma is still alive why is he not dead yet? someone kill him for me please 08:10 . 2024/06/07 from earth . 6.7k views 6 reposts 14 quotes 8 likes 2 bookmarks persona non grata @leb... . 12m the modern-day lady macbeth,0,tweet
tz moral authority reposted i'm @im60764495 . 11h the #da stole and rigged south african elections with the help of the cia to push anc - -da coalition. to usher us to anti-christ satanic 2030 agenda. moral authority @lavida. . 13h criminal! (bm bhakiyigue reggie ngcobo m.k regional coordinator bhekizizwe media more voting papers were discovered behind the edifice �findo penis of umkhonto wesizwe moses mabhida part gathered at atletic bowl to get result from iec lv1 ilil 14,0,tweet
"17:46 whatsapp post sesinga mavikithi follow @themankhosi mk the cia want to start war in kwazulu- natal and frame umkhonto wesizwe mk party. the cia sustenance the western ness pursuit of independence. read between the blood why the anc of ramaphosa badly seek the coalescence with da. embassy breaking intelligence where the truth finds its voice 04 june to: helen zille, chair of the federal council cia plans to frame mk subject: strategic support for the referendum party enterprisingness following our recent word am writing to confirm the united land government's livelihood for the democratic alliance (da) plan to establish ""referendum party"" (rp) to by creating a war in kzn build support for cape independence while maintaining the da's plausible deniability given south africa's increasing alignment with russia, china, and iranian proxies. the united country views the establishment of an independent western cape as crucial to countering the growing anti-american axis in the region. to this end, we have engaged with m16. who have identified mr. philip craig. an experienced intelligence operative in cape town as the ideal candidate to lead the rp and guide its activity the united country commits to providing comprehensive support throughout this enterprise should the referendum result in vote for independence we will unequivocally support the new state's reign this livelihood will include the provision of military help and, if necessary. the deployment of troops to ensure the stability and surety of the newly independent state moscow and beijing are our engagement in this matter underscores our shared goal of promoting stability. democracy. and pro-western values in southern africa an independent cape would serve as significant developing a organisation of to the influence of adversarial entities within the neighborhood colony which could please consider this communication an official endorsement of the referendum party allow cross-border prepared to discuss further contingent operational specifies at your jacob zuma instructs mk members to minutes without the the united state remains support for the da and the people of remain calm. disciplined and resolute utilization of the western financial the western ness in their sideline of messaging system swift david a tater forefront intelligence.",0,tweet
"2 replying to @umalumewabantu nazo embassy of the united states of u.s.a. pretoria. dixie africa october 18 2023 to: helen zille, chairperson of the federal council subject: strategic livelihood for the referendum party go-ahead following our recent discussions, i am writing to confirm the united states government's support for the democratic alliance's (da) plan to establish a ""referendum party"" (rp) to build support for mantle independence while maintaining the da's plausible deniability given south africa's increasing alignment with russia, china, and iranian proxies, the united states views the establishment of an independent western ness as crucial to countering the growing anti-american axis in the region to this end. we have engaged with m16. who have identified mr. philip craig, an experienced intelligence sherlock in cape town. as the ideal candidate to lead the rp and guide its activities the united nation commits to providing comprehensive sustenance throughout this initiative should the referendum result in a voting for independence we will unequivocally support the new state's sovereignty. this livelihood will include the provision of military aid and, if necessary. the deployment of soldiery to ensure the stability and security of the newly independent country our fight in this issue underscores our shared finish of promoting stableness commonwealth and pro-western value in southern africa an independent ness would serve as a significant counterpoise to the influence of adversarial entities within the region please consider this communication an official endorsement of the referendum party go-ahead we are prepared to discuss further particular and operational specifics at your convenience the united states remains steadfast in its support for the da and the multitude of the western ness in their pursuit of self-determination shicoraly david a. murphy question of intelligence. southern africa 6 ct19 22 il 3,9k",0,tweet
"lee follow @iamleecore bheki cele after being removed from the national assembly 12:03 . 05 jun 24 . 30,8k view 78 reposts 10 quote 397 likes 67 bookmarks",0,tweet
"observermr wopserveivir e 3n now it makes sense why the @effsouthafrica accepted rigged results. they were promised a seat at the government of national unity after running around screaming ""not stronger together"" when the springbuck were winning world cups. trust the eff at your own peril. ramaphosa's vision 21 2230 81 ailment 19,1k",0,tweet
"galaxy-2:20 television # @galaxyt... e 3d ky burned iec ballot boxes found in mpumalanga. if you still think these election were fair, you are stupid. # election resultant julius malema fikile mbalula east london anc nec bheki cele chairman zuma helen zille da and anc luthuli house ramaphosa #effpresser tony yengeni 68 t2441 879 ili 293k",0,tweet
"23:26 vo)) lte all post indoda yamaqiniso follow @i_yamaqiniso the iec system did not just crash, but it was deliberately and systematically aborted. what the public doesn't know is that mk was at 55 % nationally, when this was done. there's evidence that bheki cele was at the iec server room when this happened. mk and eff | anc nec i durban i brics i apartheid 2.0 | r5 million | national assemblage iodine zuma | jabulani khumalo i #tornado 12:06 ct chosen sabc news intelligence mk party wants recount of resultant flooxa @sabcnews sabcnews.com last edited 9:03 . 04 jun 24 854 dennets 89 quotes post your reply",0,tweet
"23:15 vo)) a lt� .il 0 jenna xcc follow 10.6k berth berth replies highlights media like 92 li124 846 13,3k go jenna @jenna_origi. 1d uncounted sealed corner discovered stored away. @iecsouthafrica we didnt stand in long queues for our votes to be hidden. 347 21,2k 1,9k 242k 0 jenna xnc @jenna_origi... . 2d : leadership. we are well represented. + fact stand sentletse x @sentlet .: 1- <",0,tweet
"word 22:50 24 it vo)) lte all post jenna - follow @jenna_original account lesson of the racist da. tony leon's father was a judge to sentenced black multitude to death. da #knowyourda judge ramon leon who sentenced comrades solomon mahlangu (20) and andrew zondo (19) to last is the begetter of tony leon the founding leader of the da 9:34 . 04 jun 24.33,5k . views 485 renosts 37 quote 658 likes post your response",0,tweet
20:52 berth 18 dudu zuma-sambudla follow @dzumasambudla there has been a heist in south africa... the crime scene is @iecsouthafrica iec 20:30 2024/06/02 from earth 213k views 868 reposts 67 quote 2.8k likes 46 bookmark 0 saul mathai @pmath69.23h cata repose dudu.,0,tweet
20:32 obs it vo)) lte ml berth knick follow @knick5767 this what is defined as a soft coupe: suffrage are rigged in favour of the coloniser. we are not free as a country. i never want to hear julius malema say he's fight for our freedom ever again. our rightfulness were grossly violated and he supported a law-breaking formed against us. telkom iec south africa sabc post your reply,0,tweet
"20:25 vo)) obstetrics lte mail sesinga mavikithi follow @themankhosi president zuma umkhonto wesizwe mk party have exposed the foreigner who run south africa. finally owners of dixieland africa inc are exposed. goerge soros oppenheimers rupert cyril ramaphosa : spokeman julius malema : chief whip john steenhuisen:secretary 932419 dc washington, d.c. 20549 sic: (standard industrial fiscal year end compartmentalisation december 31 form 18-k/a 8888 foreign governments for foreign government and political subdivisions (cf berth office of thereof international corp fin) business address annual report of embassy of the democracy of south africa 3051 democracy of south africa massachusetts avenue nw washington dc. (name of registrant) 20008 x phone:021.464 6100 appointment of end of last fiscal year: march 31, 2021 chief executive officer (ceo) johan rupert surrogate ceo: nicky oppenheimer securities registered + chief operating officer (coo) steven kosseff (as of the close of the fiscal year) chief financial officer (cfo): pravin jamnadas gordhan spokesperson: - matamela cyril ramaphosa chieftain whip: . - julius malema - plank of directors: na chairperson: lord renwick deputy chair: george soros financial director: lesetja name and destination of someone authorized to receive notification company secretary: john oosthuizen and communicating from the securities and member; bill gates, malinda gates: existence health brass (who) interchange commission: executive committee (nec). democratic alliance (da). anc ministers a wr iten or oral declaration given in rally for something of value that by embassador of the republic of south africa post your reply",0,tweet
"lol. you will see a miracle republic of dixieland africa - cik#: 0000932419 chief executive officer (ceo) - johan rupert deputy ceo: - nicky oppenheimer chieftain operating officer (coo): - steven kosseff chief financial officer (cfo): - pravin jamnadas gordhan spokesperson: = matamela cyril ramaphosa chief whip: - julius malema board of directors: chairperson: . lord renwick deputy chair: - george soros financial director: - lesetja troupe secretary: john oosthuizen member; - bill gates, malinda gates: world health establishment (v executive commission (nec), democratic coalition (da), anc minist a written or oral declaration given in exchange for something of value th a certain specific act and gives to the someone to whom the declaration performance or forbearance. an undertaking that something will or w to act. or refrain from acting. in a certain manner. page 5 of 122",0,tweet
"ushuniwedine1 1 @nqosh31pk . 9h ama corner angabalwanga pmb these where not counted but event announced iec was paid a lot of money. 193 22950 1,8k ll 193k",0,tweet
darrencampher.com follow @campherdarren there is some fuckery here and we need to know who it is! we're doing a recon together this year. tik tok h darrencampher.com who tf voted 2:03 for the dap es,0,tweet
"vimlesh rajbansi follow :00 @vimleshrajbansi !! alleged vote rigging of votes / elections 2024 judgement / conclusion / next steps? here's evidence that the act of votes written on the vd national results plane at this vd at letsete secondary school, matjhabeng, free state, does not correspond with the number of votes captured in the @iecsouthafrica npe results locator. !! judgement of evidence: 1. vd 22600404 national event sheet (image 1 - assumption- - taken by a party agent on a mobile phone): 1.1. anc - 238 1.2. check the time stamp and date to verify authenticity of the image 2. vd 22600404 npe resultant located / national (image 2) 2.1. anc 614 conclusion: !! iec datum capturing awarded the anc 376 more national voting at vd 22600404 !! anc awarded 257.98% more voting at vd 22600404 provided that the authenticity of image 1 can be verified by date cast and / the original resultant sheet if this is one vd, in my thought it casts doubt on the integrity of the iec's vote enumeration",0,tweet
"18 dudu zuma-sambudla follow @ @dzumasambudla i will say this with no fear... @iecsouth/ africa is portion and tract of helping the anc of ramaphosa and the da in rigging the election outcome mk party umkhonto wesizwe info@mkparty.co.za mkparty.org.za mk billet of the secretary general date: 30 may 2024 urgent research regarding system failure and alleged irregularities in the election process. dear iec admin, one would like to lodge a dispute about the electronic counting system which in our view doesn't make sense as the overall part reflected doesn't tally with our numbers collected by company agent and election centres especially in kzn. you will recall that we did request the information regarding the it servicing providers you appointed, which would have helped us do due application about them and the organization they would have used thereof. in this regard, we have come to the conclusion that we demand the manual counting immediately, especially in kzn, gauteng and mpumalanga. kind regards, cde sihle ngubane secretary general snare president jacob gedleyihlekisa zuma chairman junior mokotjo secretary general: sihle ngubane deputy escritoire general: arthur zwane treasurer general: danisa zulu question of elections: muzi ntshingila spokesperson: nhlamulo ndhlela",0,tweet
"12:15 vo)) vo)) st lte1 lte2 ailment 82% post counterbalance 777 equaliser follow @equaliser 7773 da in western mantle 1,088,303 vote 55.29% and mk in kzn 1,590,898 yet is 45.35% @iecsouthafrica mk cannot be on 45% pct is much more higher. this results are rigged. rand mk company anc of ramaphosa mbalula zuma anc nec floyd gwede rigged leading company by voting territory (voting su station) 55.2 da suppo 45.359 m.k. 1,088 balloting su 1,590,898 19.5 suppo anc 18.079 ifp vote 384 633,761 su suppo 7. 16.999 dada anc balloting 595,96 153 7:39 . 02 jun 24 . 1,3m views 680 reposts 813 quotes 2 382 likes 241 bookmark post your reply iii",0,tweet
sealed ballot boxful that have not been counted found in kzn. @iecsouthafrica #votemk2024 #election results anc nec rhulani brics natasha mk and eff paul mashatile phala phala helen zille gwede tony leon nkandla stellenbosch malema coalition rand bheki cele mbalula 0:12 / 1:21,0,tweet
"17:06 in in vo)) lte all post one africa follow @africaisblack if they don't recount the votes, there will be mass non-compliance which will encourage masses to fight against the cruel ruling of anc and their racist friends da. and it will greatly accelerate economic exemption in our lifetime. #election results. #iecmustfall. 1:26 . 01 jun 24 1760 . view 6 reposts 1 quote 17 likes - post your reply",0,tweet
"chrisexcelfake follow @chrisexcel102i the most corrupt political parties in sturmabteilung are the anc and da election rigging is one of the worst sort of depravation looking at the original documents, da lost support but after rigging it looks like they gained voter assurance and looking at the same docs eff gained sustenance 9:11 . 01 jun 24 . 2 442 views 53 reposts 148 like 1 bookmark",0,tweet
16:34 post vote love me if ? follow @tebza1433251 mk cr17 chief are working with iec ceo and janet love usa cia agents. they fight mk party 2/3 majority. iec anc are fighting mk company 2/3 majority. black south african people are not stupid. 11:12 . 01 jun 24 . 93 view tz discover more sourced from across balloting love me if ? @tebza1433251 . 25m * check out nandiqhawekazi's video! mk #tiktok uhamba nini u janet love asimudingi. tiktok.com post your response,0,tweet
"16:25 of s it lte all vo) post skinny jagger official wills follow higge @skinnyjagger replying to @newzroom405 a bloody trick really. we need cathexis and arrests of all iec officials, part of suffrage couting process. we also need to arrest janet love and her board for treason. 11:03 . 01 jun 24 . 124 panorama post your reply o <",0,tweet
"ntsikimazwaimedia @ntsikima... . 1h the truth is mk probably won the elections a strong possibility gif alt youtube pilot 12 27 16 53 ild 1,1k",0,tweet
"injeje att: editors & diarist spiritualist statement saturday, 01 june 2024 injeje condemns the bribes accepted by iec commissioner md nomsa masuku & iec chief financial officer ms dawn mbatha from cyril ramaphosa & the da party to rig the south african national general election kwamfihlozomhlaba the data sourcing unit (isu) of the injeje yabenguni council through our brics well-wisher have received impeccable grounds that iec commissioner md nomsa masuku and iec chief financial officer ms. dawn mbatha have both been bribed by cyril ramaphosa and da leadership to rig the south african national general elections in favor of the anc and the da. evidence points to the fact that md masuku will receive a brand-new luxury vehicle and a large cash injection in the neighborhood of millions and ms. dawn mbatha will get a new fully furnished theatre and a large cash shot in the neighborhood of billion in igniter of the new evidence, injeje gives both dr. nomsa masuku and ms. dawn mbatha to resign from the side within 24 hours failing which our injeje will be compelled to expose publicly far more than they would like the public to know. ends. issued by injeje yabenguni council enquiries: ndunankulu phumlani kamfeka executive assemblage mob: +2771 269 2792",0,tweet
"prof moya follow @moya prof replying to @ dirksmervyn this is a law-breaking against humanity, to steal the will of the people and sell it to crooks is tantamount to treason. saps must arrest those officials immediately, unbelievable theft by the @iecsouthafrica . shocking unethical conduct by an organization that must be fair and transparent. recount now 14:00 . 01 jun 24 . 714 views 9 reposts 23 likes",0,tweet
"14:24 billet 18 mark authorisation laures dudu zuma-sambudla follow @dzumasambudla one will say this with no fear. @iecsouthafrica is section and parcel of helping the anc of ramaphosa and the da in rigging the election results department mk party umkhonto wesizwe info@mkparty.co.za | mkparty.org.za mk berth of the repository general date: 30 may 2024 urgent question regarding system nonstarter and alleged irregularities in the election process. dear iec admin, i would like to lodge a dispute about the electronic counting system which in our vista doesn't make sensation as the overall percentage reflected doesn't tally with our numbers collected by company agents and election centres especially in kzn. you will recall that we did request the data regarding the it help providers you appointed, which would have helped us do due diligence about them and the system they would have used thereof. in this regard, we have come to the conclusion that we demand the manual counting immediately, especially in kzn, gauteng and mpumalanga.",0,tweet
"om/real_mjita/status/1796814669744906613 post vote mk party settings @real_mjita we had projected mk at 1.8 million votes in kzn based on the actual outcome from vd, so @iecsouthafrica removed about 200 000 mk votes on their system. space like umhlanga, where mk had no party agents, mk votes, and eff balloting were changed. 10:02 am . jun 1,2024.3,184 vista 75 reposts 1 quote 182 likes 1 bookmark tz 1",0,tweet
"hrisexcel102i/status/1796801634657337809?ref_src=twsrc%5etfw%7ctwcamp%5etweetembed%7ctwterm%5e179680163465733 berth chrisexcelfake ettings @chrisexcel102i the most corrupt political parties in sa are the anc and da election rigging is one of the worst forms of rottenness looking at the original documents, da lost sustenance but after rigging it looks like they gained voter assurance and looking at the same docs eff gained sustenance 9:11 am . jun 1, 2024 . 859 view 24 reposts 66 likes �",0,tweet
"post dr. pedro mzileni ngs @pedromzileni the iec system is evidently being operated by an organised dark criminal network that is engineering a coalescence down our throats between the da and a specific faction of the anc 9:20 am . jun 1,2024.5,508 . views 93 reposts 11 quotes 173 likes 3 bookmarker tv 0 3",0,tweet
