data,label,type
"00:15
4 LT� all
Vo))
Post
ThabzAfrikai
@ThabzAfrika
I am told the Nazi @Our_DA Home
Affairs Minister Leon Schreiber is a
Zimbabwean foreigner
I am loving how the xenophobs are
being dribble
EFF this and that, now this
#CabinetAnnouncement
RIC
Schreiban in 2017
Minister of Home Affairs
Incumbent
Assumed office
30 June 2024
Leader
John Steenhjisen
Preceded by
D�sir�e van der Walt
Personal details
Bain
Leon Amos Schreibe
Borrowdale, Harare
Zimbabwe
Nationality
Zimbabwean]
7:49 . 01 Jul 24 . 158K Views
463 Reposts 48 Quotes 977 Likes
49 Bookmarks
Post your reply",0,tweet
"Mao @Remiazania1 . 3d
Replying to @MbalulaFikile
Why have you decided to be Sellouts. You
have lost all the little credibility you had by
allowing The ANC to be used as an
instrument to bring apartheid 2.0 (The GNU).
Gogo Helen Zille & John Steenhuisen of the
white racist DA banibambe ngamasende. You
are controlled by
ANC Introduces a New Top 7
Nick Oppenheimer
Rob Hersov
Johan Rupert
Brian Menell
Koos Bekker
Christo Wiese
Stephen Koseff
3
2219
78
ild 10K",0,tweet
"e
curse in our lifetime
#Cabinet Ramaphosa Andile Lungisa
BREAKING
NEWS
.
AKING NEWS
BREAKING
Cyril Ramaphosa is removed as
a President of South Africa.
9
2713
82
il 17,9K",0,tweet
"Vimlesh Rajbansi @VimleshRaj
3h
MKP vs IEC
Vote discrepancies I evidence
Can anyone point me to the page on the IEC's
website from where the MK Party extracted
this evidence?
There is no reference to a valid source
provided in the papers filed with the electoral
court.",0,tweet
"*Mbungulu * *@_Mbungulu . 1d
Replying to @MbalulaFikile
Easy as ABC
What people
of
South Africa
Want
oo
EFF
274
8
414",0,tweet
"08:00
Post
MEHMET VEFA DAG
Follow
@AFRICANDEMOC
Let's dig in Pauli Van Wyk's saga...
How many houses does she have?
What car is sh driving?
Who are the forces behind it
Who were her victims?
our trend is starting .
We will defeat those who used Journalism
as a weapon and made hundreds of lives
miserable.
Now let's us give Pauli Van Wyk' some
journalism lessons.
Follow
Pauli Van Wyk
@PaulivW
I am an African. Journalist with
@ Daily Maverick's investigative team,
Scorpio. A Daily Maverick reader named
their pet after me.",0,tweet
"DashcamGP-Z C
@Dashcampros
#ElectionDay
Don't forget those parties that have shown no humanity to people being
butchered ,starved, massacred in Palestine.
The ones who take money from Z10n1sts and have sold their souls
APARTHEID
VF
DA
PATRIOTIC
ALLIANCE
COPE
>t
IFP
ACTIONSA
BOSA
ACDP
BUILD ONE LA
SOUTH AFRICA",0,tweet
"27 MEHMET VEFA DAG reposted
MEHMET VEFA DAG
@AFRICANDEMOC
We will not hand over South Africa's police department to the Afri
Forum... Afri Forum is a terrorist organization founded by Israeli and
American lackeys.
AFRICA
AfriForum
OLICE
SERVICE
1:46 PM . Jun 22, 2024 from Parow, South Africa . 18.4K Views
39
27
358
845
16
T.",0,tweet
"Jerm Warfare V @ReallermWarfare . 1d
T
I know it's from many years ago, but context
doesn't matter. I'm suddenly outraged about
it.
233
22214
741
76K",0,tweet
"13:20
Post
MEHMET VEFA DAG
Follow
@AFRICANDEMOC
Our country's sovereignty is threatened
with this photo.
Israeli-born Janet Love is sitting on one
side of the photo, and American
Ambassador Brigitte is sitting in the
center.
There have been thousands of cases of
fraudulent voting in the Western Cape,
Eastern Cape, KwaZulu-Natal, Limpopo
and Mpumalanga.
While the DA was a dead party in the
Western Cape, it achieved a disastrous
result of 55 percent, and our people
witnessed the IEC cheats one by one in
the live broadcasts of television channels.",0,tweet
"13:17
D
Post
MEHMET VEFA DAG
Follow
@AFRICANDEMOC
The person who stole our country's
dreams is none other than Israeli origin
Janet Love ,
put this Janet Love in the jail",0,tweet
"13:12
D
Post
MEHMET VEFA DAG
Follow
@AFRICANDEMOC
JANET LOVE MUST BE ARRESTED
JANET LOVE MUST BE ARRESTED
JANET LOVE MUST BE ARRESTED
JANET LOVE MUST BE ARRESTED
JANET LOVE MUST BE ARRESTED
JANET LOVE MUST BE ARRESTED
JANET LOVE MUST BE ARRESTED
JANET LOVE MUST BE ARRESTED
JANET LOVE MUST BE ARRESTED
The IEC",0,tweet
"13:07
Post
MEHMET VEFA DAG
Follow
@AFRICANDEMOC
Demand Janet Love's Arrests for Election
Rigging - Sign the Petition! chng.it/
s6NSWCTPjk via @ChangeorgSA
Sign the Petition
From change.org
10:21 . 2024/06/20 From Earth . 49 Views
1 Like
0",0,tweet
"Post
Nunubea Aka Nunukies
Follow
KB
@Bravo260102119
Replying to @DZumaSambudla
U must be arrested with ur propaganda ur
Useless father is nonsense
337 Dead
Thanks to the
#FreeJacobZuma
campaign
20:50 . 17 Jun 24 . 1474 Views
1 Repost 28 Likes",0,tweet
"Central News
Follow
CENTRAL
NEWS
@centralnewsza
DEVELOPING
The Independent
Electoral Commission (IEC) has updated
the African National Congress (ANC)
vote count from 6 million to 12 million
on its election results dashboard. This
change comes after the MK Party claimed
yesterday that 9 million votes were missing
or unaccounted for. This is a developing
story
Party
Votes
% Support
Seats
DA
6,961,367
21.81 %
87
ANO
6,367,023
40,24%
0
M.K.
4,584,854
14.58 %
58
DA
3,436,331
21,72%
0
EFF
3,090,020
9.52 %
39
M.K.
2,317,389
14,65%
0
IFP
1,307,088
3.85%
17
EFF
1,498,845
9.47%
o
PA
677,719
2.06%
a
W
IFP
IFP
613,787
3,88 %
0
W
VP PLUS
455,657
1.36%
5
PA
324,215
2.05%
0
ACTIONSA
413,239
1.2%
5
OF
VF PLUS
215,567
1.36
0
UDM
164,210
0.49%
3
ACTIONSA
185,024
1,17%
o
11
ACDP
190,460
0.6%
3
ACDP
94,567
0.6%
o
BALD
RISE
138.528
0,42 %
2
UDM
78,333
0.5%
0
CCC
84,611
0.23%
2
RUE
RISE
65,806
0.42 %
0
C
BOSA
135,413
0,41 %
2
self
1
BOSA
64,044
0.4%
0
1x
ATM
130,466
0.4%
2
I
ATM
62,890
0,4%
0
ALJAMA
92,472
0,24 %
2
DAC
18:40 17 Jun 24 0 326K Views
701 Reposts 65 Quotes 1516 Likes
103 Bookmarks",0,tweet
"David Tshabalala
Follow
@SlayingGoliath
Replying to @helenzille
SODIEN
BURNS
15:49 . 14 Jun 24 . 476 Views
1 Repost 3 Likes
0",0,tweet
"Post
Salaamedia
SM
@salaamedia
#Parliament | ""Let me tell it to you like this, the Muslim people sold out,
they sold us out, they sold the Palestinian child out. They voted for the
same Zionists that are sitting here waiting to hijack the country"" Fadiel
Adams said his party will continue to focus on the coloured vote
#southafrica #NationalAssembly
salaamedia
JOURNALISM
RLIAMEN
PARLIAN
EPUBLIC OF SOUTH AP
OF THE REPUBLIC OF
0:00 / 0:33
7:28 PM : Jun 14.2024.9.797 Views",0,tweet
"Post
Carl Niehaus
@niehaus_carl
As a Christian, Sir, do you support the genocide being perpetrated
against the Palestinian people by apartheid Israel? As a Christian, do you
really believe the utter nonsense that the Zionists are perpetuating that
they are God's 'chosen' people? I am talking to you as a theologian who
knows better.
1:22 AM . May 2, 2024 from Johannesburg, South Africa . 57 Views
27
1
1",0,tweet
Israel is a gay country,0,tweet
"Replying to @Mo_Magoda
""
The Democratic Alliance
is a party of white bosses
and black stooges which only
cared for black voters on the
eve of the election.
NELSON MANDELA, 2000
20.22. 12 lun 24. 14 ak Views",0,tweet
"Henriette Frohlich
@henriettefroh . 2h
Replying to @SABCNews
This is not breaking news. @Our_DA voters
were played
Izwe Lethu
@LandNoli . 08 Nov 21
Helen Zille leaked audio in 2019:
We can consolidate the DA around 20%
of the vote. Then ANC falls to 40%
to understand the complexity of
the argument.
4
229
36
ill 17,1K",0,tweet
"Brett Ben Raphael O @Brettbenra... 8h
Replying to @Julius_S_Malema and
@Noxza_dube
NPH
DOPE
9%
I
5
T214
144
ill 10,1K",0,tweet
"Post
Motho Wa Modimo
Follow
@MothoWaModimo7
Replying to @MbalulaFikile
Good luck with your power stealing
scheme, it will see all of you jailed as you
should have been. Our people will reject
this new political party led by the DA
IEC
If a political party does not
have its foundation in the
Election
determination to advance
Rigging
right
GAYA
ANC&IFP took back political power to their White baases
ANC
DA
IFP
ALL funded by Oppenheimers and Stellenbesch thieves
-
Philapholo Federal
Face of Sellout
16:26 . 13 Jun 24 . 1054 Views
3 Likes",0,tweet
"EHMET VEFA DAG reposted
EHMET VEFA DAG @AFRICANDEMOC . 14h
eplying to @AFRICANDEMOC
anet Love is of Israeli descent and was the main player in the rigging of the
Vestern Cape Election.",0,tweet
"Mama Winnie
+
Follow
@Mokwala_Dimpho
We are aware of HAARP and that it
can also be used to destabilize KZN.
We are almost there commanders.
Our International support intelligence
is hard at work to ensure that we get
accurate information regarding this
sudden Tornados. Do not be shaken
0:01
18:13 . 03 Jun 24 . 44,1K Views
293 Reposts 24 Quotes 677 Likes
46 Bookmarks",0,tweet
"Mehmet Vefa DAG
@AFRICANDEMOC
JUST IN:
Pakistan puts man in mental hospital after trying to open the
country's first gay club.
Well done Pakistan
We have lots of mental in South Africa too",0,tweet
"Mehmet Vefa Dag @Mehmetvefadag . Jun 6
Zionists rigged Mexico Election too
1
22
4
8
ilil 146
I",0,tweet
"Mehmet Vefa Dag @Mehmetvefadag Jun 6
Da has rigged Western Cape's election
Demand Alan Winde's Withdrawal from Western Cape Premier - Sign the
Petition! chng.it/nX6zrC2trf via @ChangeorgSA
Little
Sign the Petition
From change.org",0,tweet
"13:54
10%
Vo))
LTE
X
36
posted 33,4K
@BREAKING NEWS:ALLEGEDLY
.
1d
:
BREAKING NEWS:ALLEGEDLY
[THINK]
PRESIDENT ZUMA LOVES SOUTH
AFRICANS
FACTS:
1.MKP OVERWHELMING WON THIS
ELECTION
2. PRESIDENT ZUMA IS THE ONLY LEADER
STANDING UP FOR ""BLACK"" PEOPLE IN
THIS COUNTRY.
3. PRESIDENT ZUMA NEGOTIATED PEACE
FOR SOUTH AFRICA DURING THE DARK
DAYS
+
14
232
498
14,2K
00",0,tweet
"Post
Mehmet Vefa DAG
@AFRICANDEMOC
Came by the sea
Spilled much blood
Took their minerals
Took their land
And support Israeli genocide
DA",0,tweet
"09:33
t LT� ml
Vo))
Post
Dudu Zuma-Sambudla
@DZumaSambudla
The DA Of De Klerk Does Not Support
BRICS! The DA Of De Klerk Asked The
CIA Of The United States To Help Them
Rig Elections!!!
BRICS
BRICS News
to @BRICSinfo . 2d
BREAKING:
Russia officially declares
the United States an ""enemy"" for the first
time ever.
22:22 . 05 Jun 24 . 146K Views
781 Reposts 19 Quotes 2680 Likes
51 Bookmarks
27
Post your reply
<",0,tweet
"21:53
steve van niekerk
Follow
@NiekerkSteve
id you know?Jews started the ANC.
African National Congress - ANC
In 1963 a group of Jews founded the
Legendary Jewish Heroes of Black Rule in South
Africa Stamps
""African"" National Congress. The
ANC was founded by Lionel
4500
#75
Bernstein, Bob Hepple, Dennis
Goldberg, Arthur Goldreich, Hazel
Goldreich and James Kantor, with a
few African front men - Nelson
Mandela, Walter Sisulu, Govan
Baruch Hirson
Weinberg
Mbeki (father of Thabo Mbeki),
Raymond Mhlaba, and Ahmed
75
Kathrada. In this, the ANC followed
the model the Jews established
when they founded the NAACP in the
United States, with the exception
that the ANC was a much more
Ester Barsel
Hymie
violent and openly communist
organization. These Jews and their
#75
African National Congress received
funding and support from both the
Soviet Union and the US CIA.
In particular, Ruth First, the Jewish
wife of Jewish Soviet KGB Colonel
Hilda Bernstein
Helen Suzman
(Gavronsky)
Joe Slovo, a leader of the South
25
African Communist Party, was
primarily responsible for funneling
funds to this ""African"" National
Congress.
In 1966 the CIA financed the
Lionel ""Rusty"" Bernstein
Norma Kitson
assassination of President
Verwoerd, through their ""lone nut""
4500
operative Demetrio Tsafendas, a
Greek immigrant to South Africa. In
particular, Oppenheimer's South
African Foundation funneled CIA
money to Hendrik Van Den Bergh of
Ray Alexander
the South African Security Police
Ronald Segal
and John Vorster, the Minister of
4500
Justice, who were the men who
recruited Tsafendas to assassinate
Verwoerd.
By the 1970s the Jewish campaign
to subvert South Africa was having
Ruth First
Yetta Barenblatt
no effect. The economy was
More info about stamps and personages
unaffected by sanctions and communist unrest was minimal -
though much was made of it in the Jewish owned elements of
the US press.",0,tweet
"Presidium - The RET Putinist @Pre...
1d
Going into coalition government with the DA
will mark the end of the road for the ANC.
Within 6 months Ramaphosa will be
impeached as President of South Africa.
Crad regands
UNAILL
GOUNCE
FREEDON FAIRNESS OPPORTUNITY ONERSITY
FREEDOM.FAIRNESS OPPORTUNITY DIVERSITY
90
27105
163
222K",0,tweet
"08:47
D
Post
Dr. Simamkele Dlakavu (PhD)
@simamkeleD
IT SHOCKS ME THAT JACOB ZUMA IS
STILL ALIVE
WHY IS HE NOT DEAD YET?
SOMEONE KILL HIM FOR ME
PLEASE
08:10 . 2024/06/07 From Earth . 6.7K Views
6 Reposts 14 Quotes 8 Likes 2 Bookmarks
Persona non grata
@Leb... . 12m
The modern-day Lady Macbeth",0,tweet
"tz MORAL Authority reposted
I'm @Im60764495 . 11h
The #DA stole and rigged South African
elections with the help of the CIA to push
ANC - -DA coalition. To usher us to
anti-christ satanic 2030 agenda.
MORAL Authority @lavida. . 13h
Criminal!
(BM
Bhakiyigue
REGGIE NGCOBO
M.K REGIONAL COORDINATOR
Bhekizizwe Media
MORE BALLOT PAPERS WERE DISCOVERED BEHIND THE BUILDING
�findo
MEMBERS OF UMKHONTO WESIZWE MOSES MABHIDA REGION GATHERED AT ATLETIC STADIUM TO GET ANSWERS FROM IEC
LV1
ilil 14",0,tweet
"17:46
WhatsApp
Post
Sesinga Mavikithi
Follow
@themankhosi
MK
The CIA want to start War in KwaZulu-
Natal and frame uMkhonto WeSizwe MK
Party.
The CIA support the Western Cape
pursuit of Independence.
Read between the lines why THE ANC of
Ramaphosa badly seek the coalition with
DA.
Embassy
BREAKING NEWS
WHERE THE TRUTH FINDS ITS VOICE
04 JUNE
TO:
Helen Zille, Chairperson of the Federal Council
CIA PLANS TO FRAME MK
SUBJECT:
Strategic Support for the Referendum Party Initiative
Following our recent discussions am writing to confirm the United States Government's
support for the Democratic Alliance (DA) plan to establish ""Referendum Party"" (RP) to
BY CREATING A WAR IN KZN
build support for Cape independence while maintaining the DA's plausible deniability
Given South Africa's increasing alignment with Russia, China, and Iranian proxies. the United
States views the establishment of an independent Western Cape as crucial to countering the
growing anti-American axis in the region. To this end, we have engaged with M16. who have
identified Mr. Philip Craig. an experienced intelligence operative in Cape Town as the ideal
candidate to lead the RP and guide its activities
The United States commits to providing comprehensive support throughout this initiative
Should the referendum result in vote for independence we will unequivocally support the
new state's sovereignty This support will include the provision of military aid and, if
necessary. the deployment of troops to ensure the stability and security of the newly
independent state
Moscow and Beijing ARE
Our engagement in this matter underscores our shared goal of promoting stability. democracy.
and pro-Western values in Southern Africa An independent Cape would serve as significant
DEVELOPING A SYSTEM OF
to the influence of adversarial entities within the region
SETTLEMENTS WHICH COULD
Please consider this communication an official endorsement of the Referendum Party
ALLOW CROSS-BORDER
prepared to discuss further details operational specifies at your
JACOB ZUMA INSTRUCTS MK MEMBERS TO
TRANSACTIONS WITHOUT THE
The
United
States
remains
support
for
the
DA
and
the
people
of
REMAIN CALM. DISCIPLINED AND RESOLUTE
USE OF THE WESTERN FINANCIAL
the Western Cape in their pursuit of
MESSAGING SYSTEM SWIFT
David A Murphy
Head Intelligence.",0,tweet
"2
Replying to @Umalumewabantu
Nazo
Embassy of the United States of America
Pretoria. South Africa
October 18 2023
TO:
Helen Zille, Chairperson of the Federal Council
SUBJECT:
Strategic Support for the Referendum Party Initiative
Following our recent discussions, I am writing to confirm the United States Government's
support for the Democratic Alliance's (DA) plan to establish a ""Referendum Party"" (RP) to
build support for Cape independence while maintaining the DA's plausible deniability
Given South Africa's increasing alignment with Russia, China, and Iranian proxies, the United
States views the establishment of an independent Western Cape as crucial to countering the
growing anti-American axis in the region To this end. we have engaged with M16. who have
identified Mr. Philip Craig, an experienced intelligence operative in Cape Town. as the ideal
candidate to lead the RP and guide its activities
The United States commits to providing comprehensive support throughout this initiative
Should the referendum result in a vote for independence we will unequivocally support the
new state's sovereignty. This support will include the provision of military aid and, if
necessary. the deployment of troops to ensure the stability and security of the newly
independent state
Our engagement in this matter underscores our shared goal of promoting stability democracy
and pro-Western values in Southern Africa An independent Cape would serve as a significant
counterbalance to the influence of adversarial entities within the region
Please consider this communication an official endorsement of the Referendum Party
initiative We are prepared to discuss further details and operational specifics at your
convenience The United States remains steadfast in its support for the DA and the people of
the Western Cape in their pursuit of self-determination
Shicoraly
David A. Murphy
Head of Intelligence.
Southern Africa
6
CT19
22
il 3,9K",0,tweet
"LEE
Follow
@IamLeeCore
Bheki cele after being removed from the
national assembly
12:03 . 05 Jun 24 . 30,8K Views
78 Reposts 10 Quotes 397 Likes
67 Bookmarks",0,tweet
"ObserverMr wOpserveivir e 3n
Now it makes sense why the
@EFFSouthAfrica accepted rigged results.
They were promised a seat at the
Government of National Unity after running
around screaming ""not stronger together""
when the Springboks were winning world
cups.
Trust the EFF at your own peril.
RAMAPHOSA'S
VISION
21
2230
81
ill 19,1K",0,tweet
"GALAXY-2:20 VIDEO # @GalaxyT... e 3d
KY
Burned IEC ballot boxes found in
Mpumalanga. If you still think these elections
were fair, you are stupid.
# Election Results Julius Malema Fikile
Mbalula East London ANC NEC Bheki Cele
President Zuma Helen Zille DA and ANC
Luthuli House Ramaphosa #EFFpresser Tony
Yengeni
68
T2441
879
ili 293K",0,tweet
"23:26
Vo))
LTE all
Post
Indoda Yamaqiniso
Follow
@i_yamaqiniso
The IEC system did not just crash, but
it was deliberately and systematically
aborted. What the public doesn't know
is that MK was at 55 % nationally, when
this was done. There's evidence that
Bheki Cele was at the IEC server room
when this happened.
MK and EFF | ANC NEC I Durban I BRICS
I
Apartheid 2.0 | R5 Million | National
Assembly I Zuma | Jabulani Khumalo
I
#tornado
12:06 CAT
ELECT
SABC
NEWS
NEWS
MK Party wants recount of results
flooxa @SABCNews
SABCNEWS.COM
Last edited 9:03 . 04 Jun 24
854 Dennets 89 Quotes
Post your reply",0,tweet
"23:15
Vo))
A
LT� .Il
0
Jenna
XCC
Follow
10.6K posts
Posts
Replies
Highlights
Media
Like
92
LI124
846
13,3K
go
Jenna
@jenna_origi. 1d
Uncounted sealed boxes discovered
stored away.
@IECSouthAfrica we didnt stand in long
queues for our votes to be hidden.
347
21,2K
1,9K
242K
0
Jenna
XNC
@jenna_origi... . 2d
:
Leadership.
We are well represented.
+
fact stand Sentletse X @Sentlet
.: 1-
<",0,tweet
"news
22:50
24
it Vo)) LTE all
Post
Jenna -
Follow
@jenna_original
History lesson of the racist DA.
Tony Leon's father was a judge to
sentenced black people to death.
DA
#KnowYourDA
JUDGE RAMON LEON WHO SENTENCED COMRADES
SOLOMON MAHLANGU (20)
AND ANDREW ZONDO (19)
TO DEATH IS THE FATHER OF
TONY LEON THE FOUNDING LEADER OF THE DA
9:34 . 04 Jun 24.33,5K . Views
485 Renosts 37 Quotes 658 likes
Post your reply",0,tweet
"20:52
Post
18
Dudu Zuma-Sambudla
Follow
@DZumaSambudla
There Has Been A Heist In South Africa...
The Crime Scene Is @IECSouthAfrica
IEC
20:30 2024/06/02 From Earth 213K Views
868 Reposts 67 Quotes
2.8K Likes 46 Bookmarks
0
Paul Mathai @PMath69.23h
CATA
Rest Dudu.",0,tweet
"20:32
Obs
it Vo)) LTE ml
Post
knick
Follow
@knick5767
This what is defined as a Soft Coupe:
Votes are Rigged in favour of the
Coloniser.
We are not free as a country.
I never want to hear Julius Malema say
he's fighting for our freedom ever again.
Our Rights were grossly violated and he
supported a crime formed against us.
Telkom
IEC
SOUTH AFRICA
SABC
Post your reply",0,tweet
"20:25
Vo))
Obs
LTE
Post
Sesinga Mavikithi
Follow
@themankhosi
President Zuma uMkhonto WeSizwe MK
Party have exposed the Foreigners who
run South Africa.
Finally owners of South Africa Inc are
exposed.
Goerge Soros
Oppenheimers
Rupert
Cyril Ramaphosa : Spokeman
Julius Malema
: Chief Whip
John Steenhuisen:Secretary
932419
DC
Washington, D.C. 20549
SIC: (Standard Industrial
Fiscal year end
Classification
December 31
FORM 18-K/A
8888 Foreign
Governments
For Foreign Governments and Political Subdivisions
(CF Office Office of
Thereof
International Corp Fin)
Business address
ANNUAL REPORT OF
EMBASSY OF THE REPUBLIC OF SOUTH AFRICA 3051
REPUBLIC OF SOUTH AFRICA
MASSACHUSETTS AVENUE NW WASHINGTON DC.
(Name of Registrant)
20008
X
Phone:021.464 6100
Date of end of last fiscal year: March 31, 2021
Chief Executive Officer (CEO)
Johan Rupert
Deputy CEO:
Nicky Oppenheimer
SECURITIES REGISTERED +
Chief Operating Officer (COO)
Steven Kosseff
(As of the close of the fiscal year)
Chief Financial Officer (CFO):
Pravin Jamnadas Gordhan
Spokesperson: -
Matamela Cyril Ramaphosa
Chief Whip:
.
-
Julius Malema
-
Board of Directors:
NA
Chairperson:
Lord Renwick
Deputy Chair:
George Soros
Financial Director:
Lesetja
Name and address of person authorized to receive notices
Company Secretary:
John Oosthuizen
and communications from the Securities and
Member; Bill Gates, Malinda Gates: World Health Organisation (WHO)
Exchange Commission:
Executive Committee (NEC). Democratic Alliance (DA). ANC Ministers
A wr iten or oral declaration given in exchange for something of value that
by
Ambassador of the Republic of South Africa
Post your reply",0,tweet
"Lol. You will see a miracle
REPUBLIC OF SOUTH AFRICA - CIK#: 0000932419
Chief Executive Officer (CEO) -
Johan Rupert
Deputy CEO: -
Nicky Oppenheimer
Chief Operating Officer (COO):
-
Steven Kosseff
Chief Financial Officer (CFO): -
Pravin Jamnadas Gordhan
Spokesperson: =
Matamela Cyril Ramaphosa
Chief Whip: -
Julius Malema
Board of Directors:
Chairperson: .
Lord Renwick
Deputy Chair: -
George Soros
Financial Director: -
Lesetja
Company Secretary:
John Oosthuizen
Member; - Bill Gates, Malinda Gates: World Health Organisation (V
Executive Committee (NEC), Democratic Alliance (DA), ANC Minist
A written or oral declaration given in exchange for something of value th
a certain specific act and gives to the person to whom the declaration
performance or forbearance. An undertaking that something will or W
to act. or refrain from acting. in a certain manner.
Page 5 of 122",0,tweet
"uShuniWeDine1 1 @nqosh31pk . 9h
Ama box angabalwanga pmb these where
not counted but results announced
IEC was paid a lot of money.
193
22950
1,8K
ll 193K",0,tweet
"DarrenCampher.com
Follow
@CampherDarren
There is some fuckery here and we need to
know who it is!
We're doing a recon together this year.
Tik
Tok
H darrencampher.com
Who tf voted
2:03
For the DAP
e",0,tweet
"Vimlesh Rajbansi
Follow
:00
@VimleshRajbansi
!!
Alleged vote rigging of Votes / Elections
2024
Assessment / conclusion /
Next steps?
Here's evidence that the number of
votes written on the VD National results
sheets at this VD at Letsete Secondary
School, Matjhabeng, Free State, does
not correspond with the number of votes
captured in the @IECSouthAfrica NPE
Results locator.
!!
Assessment of evidence:
1. VD 22600404 National Results Sheet
(Image 1 - assumption- - taken by a party
agent on a mobile phone):
1.1. ANC - 238
1.2. Check the time stamp and date to verify
authenticity of the image
2. VD 22600404 NPE Results located /
National
(Image 2)
2.1. ANC 614
Conclusion:
!! IEC data capturing awarded the ANC 376
more National votes at VD 22600404
!! ANC awarded 257.98% more votes at VD
22600404
Provided that the authenticity of image 1
can be verified by date stamp and / the
original results sheet
If this is one VD, in my opinion it casts doubt
on the integrity of the IEC's vote counting",0,tweet
